,State: DISTRICT OF COLUMBIA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),3092,430,584,711,96,495,40,259,61,15,2,0,57,319,0,23
1,Total,100.0,13.9,18.9,23.0,3.1,16.0,1.3,8.4,2.0,0.5,0.1,0.0,1.8,10.3,0.0,0.7
3,Male,72.3,75.1,72.8,80.0,84.4,60.6,62.5,70.7,91.8,93.3,50.0,0.0,78.9,61.8,0.0,78.3
4,Female,27.6,24.9,27.2,19.8,15.6,39.2,37.5,29.3,8.2,6.7,50.0,0.0,21.1,38.2,0.0,21.7
5,Unknown,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
8,12-17 years,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18-20 years,0.6,0.0,0.3,0.0,2.1,0.2,2.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
10,21-25 years,2.7,2.3,1.4,1.3,6.3,0.8,2.5,9.3,11.5,13.3,50.0,0.0,7.0,1.3,0.0,8.7
11,26-30 years,9.4,10.0,11.5,4.6,27.1,2.8,7.5,16.6,23.0,26.7,0.0,0.0,22.8,9.4,0.0,8.7
12,31-35 years,10.5,14.0,8.7,4.4,16.7,4.8,20.0,14.3,31.1,13.3,0.0,0.0,15.8,20.7,0.0,8.7
13,36-40 years,12.5,12.8,13.7,8.0,14.6,5.3,5.0,16.2,11.5,13.3,0.0,0.0,14.0,28.5,0.0,13.0
14,41-45 years,11.6,11.4,12.5,9.8,10.4,6.1,22.5,13.1,13.1,0.0,50.0,0.0,12.3,20.1,0.0,21.7
15,46-50 years,9.3,12.1,9.9,7.5,5.2,12.1,7.5,5.0,6.6,6.7,0.0,0.0,10.5,8.5,0.0,21.7
16,51-55 years,14.5,14.4,15.1,16.3,6.3,24.2,15.0,7.7,3.3,6.7,0.0,0.0,7.0,6.3,0.0,13.0
17,56-60 years,16.4,12.8,16.6,24.6,6.3,28.5,12.5,3.1,0.0,20.0,0.0,0.0,7.0,4.4,0.0,0.0
18,61-65 years,8.0,6.5,7.4,15.6,1.0,11.1,5.0,1.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
19,66 years and over,3.8,3.7,2.9,7.9,4.2,4.0,0.0,0.8,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
23,White,3.2,6.7,2.6,3.2,6.3,1.6,0.0,4.2,6.6,13.3,0.0,0.0,0.0,0.3,0.0,0.0
24,Black or African-American,91.3,77.2,91.3,93.8,92.7,96.6,92.5,91.9,83.6,80.0,100.0,0.0,94.7,96.6,0.0,100.0
25,American Indian or Alaska Native,0.2,0.7,0.0,0.3,0.0,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.2,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Other,3.3,11.4,4.6,1.4,0.0,0.8,7.5,1.2,3.3,0.0,0.0,0.0,1.8,1.3,0.0,0.0
28,Unknown,1.7,3.3,1.4,1.1,1.0,0.8,0.0,2.7,4.9,6.7,0.0,0.0,3.5,1.9,0.0,0.0
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
31,Hispanic or Latino,6.2,15.6,6.0,3.8,4.2,3.0,5.0,7.7,9.8,6.7,0.0,0.0,8.8,2.8,0.0,0.0
32,Not Hispanic or Latino,92.0,82.3,93.5,94.0,95.8,94.3,95.0,89.2,90.2,93.3,50.0,0.0,91.2,95.6,0.0,100.0
33,Unknown,1.8,2.1,0.5,2.3,0.0,2.6,0.0,3.1,0.0,0.0,50.0,0.0,0.0,1.6,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
