,State: MICHIGAN,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),64889,15708,11842,15673,4890,4449,1338,3213,6740,79,640,92,40,2,66,117
1,Total,100.0,24.2,18.2,24.2,7.5,6.9,2.1,5.0,10.4,0.1,1.0,0.1,0.1,0.0,0.1,0.2
3,Male,64.5,69.9,68.6,61.7,54.0,64.3,68.2,72.3,55.1,64.6,58.1,58.7,62.5,50.0,47.0,63.2
4,Female,35.5,30.1,31.4,38.3,46.0,35.7,31.8,27.7,44.9,35.4,41.9,41.3,37.5,50.0,53.0,36.8
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,0.7,0.2,0.3,0.0,0.1,0.0,0.3,9.7,0.3,0.0,2.3,2.2,5.0,0.0,6.1,4.3
9,18-20 years,1.4,0.6,1.0,0.7,1.0,0.3,1.5,6.9,2.8,2.5,6.7,7.6,12.5,0.0,1.5,0.9
10,21-25 years,6.4,3.5,5.3,6.6,6.2,3.8,7.4,15.7,11.4,15.2,13.4,10.9,30.0,0.0,10.6,9.4
11,26-30 years,15.8,11.0,13.3,19.9,18.7,7.5,17.9,21.4,21.6,17.7,21.4,14.1,12.5,0.0,33.3,11.1
12,31-35 years,19.3,14.3,16.9,25.5,24.8,11.0,16.3,16.1,24.2,30.4,19.7,22.8,17.5,50.0,15.2,28.2
13,36-40 years,16.1,15.6,15.5,17.1,20.1,11.4,15.5,11.2,18.7,16.5,15.5,17.4,17.5,0.0,18.2,20.5
14,41-45 years,11.4,12.6,13.1,10.2,11.3,11.6,13.5,7.8,10.1,6.3,7.5,6.5,2.5,50.0,6.1,9.4
15,46-50 years,8.8,12.4,10.5,5.9,6.4,13.2,9.3,4.3,5.7,2.5,4.1,1.1,2.5,0.0,4.5,4.3
16,51-55 years,8.3,12.6,10.1,4.8,4.5,17.9,7.5,2.9,3.2,5.1,5.2,4.3,0.0,0.0,1.5,7.7
17,56-60 years,6.9,10.6,8.9,3.8,3.8,15.1,7.0,2.8,1.6,1.3,1.7,6.5,0.0,0.0,3.0,2.6
18,61-65 years,3.6,5.2,4.2,3.2,2.0,6.4,3.0,0.8,0.3,2.5,2.3,5.4,0.0,0.0,0.0,1.7
19,66 years and over,1.3,1.4,0.8,2.3,1.0,1.7,0.7,0.3,0.1,0.0,0.2,1.1,0.0,0.0,0.0,0.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,69.7,72.4,59.8,77.9,79.2,38.7,51.0,52.7,85.8,75.9,82.3,84.8,62.5,50.0,87.9,77.8
24,Black or African-American,21.7,19.5,31.8,14.6,11.4,54.6,38.7,35.3,4.0,6.3,6.4,9.8,20.0,50.0,0.0,10.3
25,American Indian or Alaska Native,1.2,1.2,1.3,0.7,1.6,0.2,1.0,1.5,1.9,1.3,1.3,0.0,2.5,0.0,0.0,1.7
26,Asian or Native Hawaiian or Other Pacific Islander,0.3,0.3,0.2,0.3,0.3,0.2,0.4,0.5,0.4,0.0,0.5,0.0,2.5,0.0,0.0,1.7
27,Other,2.8,2.8,2.9,2.6,3.3,2.0,3.3,4.3,1.8,5.1,4.2,1.1,10.0,0.0,6.1,3.4
28,Unknown,4.3,3.7,4.0,3.8,4.3,4.4,5.6,5.8,6.1,11.4,5.3,4.3,2.5,0.0,6.1,5.1
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,4.8,4.8,5.2,4.3,4.4,3.4,6.7,7.8,4.5,6.3,3.8,8.7,17.5,0.0,3.0,6.8
32,Not Hispanic or Latino,92.1,91.9,92.4,93.0,92.3,93.5,89.2,87.6,92.1,84.8,93.6,87.0,72.5,100.0,92.4,88.9
33,Unknown,3.1,3.3,2.4,2.7,3.4,3.0,4.1,4.6,3.4,8.9,2.7,4.3,10.0,0.0,4.5,4.3
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
