,State: GEORGIA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),37667,6033,7081,1730,2534,1689,1646,7703,8043,82,503,44,49,19,14,497
1,Total,100.0,16.0,18.8,4.6,6.7,4.5,4.4,20.5,21.4,0.2,1.3,0.1,0.1,0.1,0.0,1.3
3,Male,63.5,68.6,69.9,55.1,55.0,62.2,65.7,63.7,59.3,57.3,52.9,63.6,77.6,63.2,50.0,59.4
4,Female,36.2,31.2,29.9,44.9,44.7,37.7,34.0,36.1,40.3,42.7,46.9,36.4,22.4,36.8,50.0,40.4
5,Unknown,0.2,0.2,0.2,0.1,0.3,0.1,0.4,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,0.6,0.2,0.2,0.0,0.1,0.0,0.4,2.2,0.1,1.2,1.4,2.3,2.0,0.0,0.0,2.8
9,18-20 years,2.7,0.6,1.6,1.8,1.9,0.7,0.9,7.8,1.5,0.0,4.6,4.5,14.3,5.3,7.1,3.0
10,21-25 years,10.4,5.0,7.2,10.3,9.5,1.8,4.7,21.1,10.3,4.9,13.3,4.5,30.6,15.8,7.1,9.5
11,26-30 years,17.1,10.9,13.0,26.0,22.1,6.2,12.8,22.7,19.3,25.6,16.7,9.1,26.5,10.5,7.1,20.3
12,31-35 years,16.7,13.3,15.8,23.8,21.5,9.8,13.9,15.5,20.0,11.0,15.5,20.5,8.2,15.8,35.7,20.3
13,36-40 years,13.9,12.4,13.1,13.2,15.5,10.5,13.9,11.9,17.9,18.3,15.5,20.5,4.1,21.1,21.4,14.5
14,41-45 years,11.2,13.2,11.5,8.7,11.1,10.8,13.7,7.2,13.7,13.4,10.5,15.9,6.1,0.0,7.1,9.3
15,46-50 years,8.5,12.0,10.0,4.0,6.7,13.7,12.6,4.4,8.3,13.4,7.6,4.5,0.0,10.5,7.1,9.5
16,51-55 years,8.1,12.4,11.5,4.9,5.0,19.1,11.8,3.7,4.8,4.9,7.2,9.1,6.1,15.8,0.0,5.0
17,56-60 years,6.8,12.4,10.9,3.8,4.2,16.0,10.1,2.1,2.8,2.4,4.2,4.5,0.0,5.3,7.1,2.8
18,61-65 years,3.0,5.7,4.1,2.5,1.7,8.6,3.6,1.1,1.0,2.4,2.4,4.5,2.0,0.0,0.0,1.8
19,66 years and over,0.9,1.7,1.1,1.2,0.6,2.8,1.3,0.3,0.1,2.4,1.0,0.0,0.0,0.0,0.0,1.0
20,Unknown,0.1,0.1,0.0,0.0,0.2,0.0,0.2,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,55.7,59.4,43.5,77.0,75.4,17.5,22.7,42.9,78.3,58.5,75.5,72.7,53.1,47.4,78.6,60.0
24,Black or African-American,37.1,32.3,50.2,18.6,18.4,78.9,69.5,48.3,14.9,34.1,14.9,18.2,34.7,47.4,14.3,32.8
25,American Indian or Alaska Native,0.6,0.8,0.6,0.3,1.4,0.2,0.5,0.4,0.6,2.4,2.0,0.0,2.0,0.0,0.0,0.4
26,Asian or Native Hawaiian or Other Pacific Islander,1.0,1.1,1.1,1.2,0.7,0.8,2.0,1.1,0.9,0.0,1.2,0.0,0.0,0.0,0.0,1.6
27,Other,1.7,2.1,1.8,1.3,1.4,1.1,1.5,2.0,1.4,1.2,1.2,2.3,6.1,0.0,0.0,1.4
28,Unknown,3.8,4.3,2.8,1.6,2.6,1.5,3.8,5.4,3.9,3.7,5.2,6.8,4.1,5.3,7.1,3.8
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,3.5,4.7,3.1,2.8,2.3,1.9,2.8,4.4,3.2,1.2,2.6,9.1,10.2,0.0,0.0,1.6
32,Not Hispanic or Latino,91.8,91.0,92.9,95.1,93.0,94.7,91.4,89.6,91.9,95.1,91.5,84.1,85.7,94.7,92.9,93.4
33,Unknown,4.7,4.3,4.0,2.1,4.7,3.4,5.8,6.0,4.9,3.7,6.0,6.8,4.1,5.3,7.1,5.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
