,State: MISSOURI,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),31135,4775,3793,3517,5107,498,222,3811,8306,19,190,15,46,110,16,710
1,Total,100.0,15.3,12.2,11.3,16.4,1.6,0.7,12.2,26.7,0.1,0.6,0.0,0.1,0.4,0.1,2.3
3,Male,61.0,71.4,68.2,59.3,56.4,58.4,59.0,67.7,53.7,57.9,52.1,20.0,71.7,58.2,81.3,50.1
4,Female,38.9,28.6,31.8,40.7,43.6,41.6,41.0,32.2,46.2,42.1,47.9,80.0,28.3,41.8,18.8,49.9
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,4.4,0.4,1.8,0.0,1.1,0.6,3.6,28.4,0.7,0.0,11.6,6.7,8.7,0.0,12.5,4.2
9,18-20 years,2.1,1.0,1.7,1.0,2.6,0.2,3.6,4.1,2.0,5.3,10.0,0.0,13.0,0.9,0.0,2.8
10,21-25 years,8.7,5.8,7.9,7.2,9.4,1.8,14.4,11.9,9.8,5.3,15.3,26.7,4.3,0.9,12.5,6.6
11,26-30 years,16.7,11.0,15.3,22.0,20.8,5.2,15.3,14.1,17.6,15.8,18.9,6.7,21.7,4.5,25.0,20.8
12,31-35 years,18.1,13.4,16.7,22.9,22.2,5.2,14.0,13.3,19.6,5.3,16.8,26.7,13.0,20.0,6.3,22.4
13,36-40 years,16.1,14.6,15.4,17.1,17.9,8.2,11.7,10.2,18.7,31.6,10.5,26.7,19.6,30.0,12.5,17.2
14,41-45 years,11.6,11.6,12.5,12.3,11.0,10.8,13.1,7.2,13.3,26.3,4.7,0.0,8.7,20.9,12.5,10.3
15,46-50 years,7.8,10.9,9.3,6.7,6.6,13.3,5.4,4.5,8.1,0.0,5.8,6.7,6.5,13.6,0.0,6.8
16,51-55 years,6.1,11.4,8.0,3.9,3.7,20.1,5.0,3.0,5.4,5.3,3.7,0.0,2.2,3.6,12.5,4.9
17,56-60 years,5.0,10.6,7.3,3.5,2.5,20.5,9.0,2.0,3.5,5.3,1.1,0.0,2.2,4.5,0.0,2.4
18,61-65 years,2.5,6.2,3.2,2.4,1.7,10.8,4.1,0.7,1.1,0.0,1.6,0.0,0.0,0.9,0.0,1.3
19,66 years and over,1.0,3.0,1.1,0.9,0.5,3.2,0.9,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.3,0.3
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,76.3,80.9,76.8,71.0,68.6,16.5,45.0,69.1,89.0,78.9,82.1,86.7,71.7,6.4,93.8,76.1
24,Black or African-American,17.4,12.4,16.3,24.0,26.0,79.1,48.2,22.2,5.2,15.8,12.6,13.3,21.7,85.5,6.3,18.0
25,American Indian or Alaska Native,0.2,0.3,0.3,0.1,0.2,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
26,Asian or Native Hawaiian or Other Pacific Islander,0.2,0.6,0.1,0.2,0.2,0.2,0.0,0.3,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0
27,Other,1.4,2.6,2.1,0.7,1.0,0.4,2.7,1.9,0.8,0.0,0.5,0.0,2.2,0.9,0.0,2.0
28,Unknown,4.4,3.3,4.2,4.0,4.0,3.8,4.1,6.2,4.6,5.3,4.2,0.0,4.3,7.3,0.0,3.5
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,3.1,3.9,3.6,2.0,2.3,1.2,5.4,4.0,2.9,5.3,3.7,0.0,4.3,0.9,0.0,3.2
32,Not Hispanic or Latino,96.9,96.1,96.4,98.0,97.7,98.8,94.6,96.0,97.1,94.7,96.3,100.0,95.7,99.1,100.0,96.8
33,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
