,State: NEW HAMPSHIRE,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),839,160,69,299,113,39,19,19,110,4,2,2,0,0,1,2
1,Total,100.0,19.1,8.2,35.6,13.5,4.6,2.3,2.3,13.1,0.5,0.2,0.2,0.0,0.0,0.1,0.2
3,Male,57.0,67.5,58.0,48.8,57.5,51.3,63.2,94.7,56.4,50.0,100.0,50.0,0.0,0.0,0.0,100.0
4,Female,43.0,32.5,42.0,51.2,42.5,48.7,36.8,5.3,43.6,50.0,0.0,50.0,0.0,0.0,100.0,0.0
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
8,12-17 years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18-20 years,1.2,0.0,2.9,0.3,1.8,0.0,0.0,10.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,21-25 years,5.7,2.5,7.2,6.0,6.2,2.6,5.3,10.5,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,26-30 years,16.6,7.5,10.1,23.1,14.2,15.4,21.1,21.1,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,31-35 years,21.8,13.8,15.9,28.4,19.5,15.4,21.1,15.8,23.6,25.0,50.0,0.0,0.0,0.0,100.0,50.0
13,36-40 years,17.0,6.3,17.4,19.1,24.8,10.3,21.1,21.1,18.2,50.0,0.0,50.0,0.0,0.0,0.0,50.0
14,41-45 years,12.0,11.9,17.4,10.7,11.5,20.5,10.5,15.8,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
15,46-50 years,7.0,11.3,4.3,4.7,8.8,10.3,0.0,0.0,8.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0
16,51-55 years,7.7,14.4,13.0,3.7,6.2,12.8,0.0,5.3,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,56-60 years,5.1,11.9,4.3,2.7,3.5,12.8,10.5,0.0,0.9,0.0,0.0,50.0,0.0,0.0,0.0,0.0
18,61-65 years,3.6,11.3,5.8,1.0,3.5,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,66 years and over,2.1,9.4,1.4,0.3,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
23,White,85.3,87.5,88.4,88.3,84.1,79.5,84.2,52.6,84.5,50.0,50.0,50.0,0.0,0.0,100.0,50.0
24,Black or African-American,3.5,1.3,1.4,2.7,1.8,12.8,0.0,26.3,4.5,0.0,50.0,0.0,0.0,0.0,0.0,0.0
25,American Indian or Alaska Native,1.1,0.6,2.9,1.0,0.0,2.6,0.0,5.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Other,1.5,1.3,2.9,2.0,1.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Unknown,8.5,9.4,4.3,5.7,12.4,5.1,15.8,15.8,9.1,50.0,0.0,50.0,0.0,0.0,0.0,50.0
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
31,Hispanic or Latino,4.3,2.5,2.9,5.7,4.4,0.0,5.3,0.0,4.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Not Hispanic or Latino,85.8,82.5,92.8,92.0,69.0,94.9,78.9,84.2,89.1,0.0,100.0,50.0,0.0,0.0,100.0,50.0
33,Unknown,9.9,15.0,4.3,2.3,26.5,5.1,15.8,15.8,6.4,50.0,0.0,50.0,0.0,0.0,0.0,50.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
