,State: CONNECTICUT,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),51986,9601,8138,13756,4452,1938,1371,4432,189,28,645,73,137,564,27,6635
1,Total,100.0,18.5,15.7,26.5,8.6,3.7,2.6,8.5,0.4,0.1,1.2,0.1,0.3,1.1,0.1,12.8
3,Male,69.5,69.7,73.3,72.2,69.4,62.3,76.4,71.3,81.5,78.6,70.7,71.2,72.3,68.1,66.7,58.0
4,Female,30.4,30.2,26.6,27.8,30.5,37.6,23.5,28.7,18.5,21.4,29.3,28.8,27.0,31.9,33.3,41.9
5,Unknown,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.1
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18-20 years,2.3,0.7,1.4,0.4,1.3,0.3,0.5,8.6,2.1,0.0,3.3,6.8,10.2,0.0,3.7,7.4
10,21-25 years,7.7,3.8,7.1,4.7,8.1,3.9,5.4,22.2,11.6,10.7,11.5,13.7,19.0,2.3,11.1,11.2
11,26-30 years,14.8,9.9,14.1,15.6,19.6,9.8,10.9,22.0,24.3,25.0,14.7,13.7,16.1,8.7,29.6,15.3
12,31-35 years,17.6,13.0,16.1,21.2,22.2,15.6,17.4,16.4,24.3,25.0,19.2,30.1,21.2,30.7,11.1,15.3
13,36-40 years,15.5,14.3,15.2,17.2,17.8,15.7,16.8,12.3,14.8,21.4,22.5,12.3,13.9,30.3,11.1,12.8
14,41-45 years,11.6,12.6,13.3,11.7,10.8,12.6,15.3,7.2,9.5,14.3,7.8,8.2,10.2,16.8,7.4,9.9
15,46-50 years,9.3,11.5,10.0,9.5,7.8,12.8,11.5,4.4,6.3,3.6,7.1,4.1,2.2,9.0,3.7,8.4
16,51-55 years,8.9,12.9,10.0,8.9,5.7,14.0,9.9,3.3,2.6,0.0,7.4,4.1,1.5,1.4,3.7,7.3
17,56-60 years,7.2,12.4,8.1,6.3,4.1,10.4,7.4,2.2,2.1,0.0,3.3,2.7,0.7,0.7,7.4,6.1
18,61-65 years,3.6,6.4,3.9,3.1,1.8,4.0,2.3,1.0,1.1,0.0,2.9,1.4,2.9,0.0,11.1,3.6
19,66 years and over,1.5,2.6,0.9,1.2,0.7,0.8,2.4,0.3,1.1,0.0,0.3,2.7,2.2,0.0,0.0,2.7
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,59.6,65.4,59.6,64.4,67.3,48.4,48.9,32.6,70.9,75.0,79.1,67.1,38.7,20.6,37.0,61.6
24,Black or African-American,15.9,11.9,19.1,9.8,9.7,26.3,24.6,37.6,12.2,3.6,5.1,6.8,35.0,47.2,29.6,13.3
25,American Indian or Alaska Native,0.4,0.2,0.6,0.3,0.3,0.5,0.4,0.5,0.0,0.0,0.3,0.0,0.7,1.2,0.0,0.6
26,Asian or Native Hawaiian or Other Pacific Islander,0.9,0.8,0.7,0.7,1.1,0.5,0.9,1.1,1.6,3.6,0.5,0.0,0.7,0.0,3.7,1.4
27,Other,15.9,16.6,10.1,18.3,13.7,21.2,19.5,20.1,12.2,14.3,9.9,17.8,15.3,24.6,18.5,13.4
28,Unknown,7.3,5.0,9.8,6.5,7.8,3.2,5.6,8.2,3.2,3.6,5.1,8.2,9.5,6.4,11.1,9.8
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,18.4,12.5,16.1,22.1,19.3,14.3,21.6,25.6,13.8,7.1,10.7,26.0,13.9,27.7,22.2,17.3
32,Not Hispanic or Latino,69.6,77.9,70.4,71.4,71.4,78.9,64.3,52.0,70.4,85.7,81.4,64.4,53.3,65.8,59.3,61.3
33,Unknown,12.0,9.7,13.5,6.4,9.3,6.8,14.2,22.4,15.9,7.1,7.9,9.6,32.8,6.6,18.5,21.4
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
