,State: TEXAS,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),32060,5196,3609,5666,1785,978,951,5617,6778,18,620,35,50,289,16,452
1,Total,100.0,16.2,11.3,17.7,5.6,3.1,3.0,17.5,21.1,0.1,1.9,0.1,0.2,0.9,0.0,1.4
3,Male,61.2,66.3,65.1,65.9,53.9,54.7,60.7,67.9,49.6,50.0,48.5,51.4,52.0,53.3,43.8,68.6
4,Female,38.8,33.7,34.9,34.1,46.1,45.3,39.3,32.1,50.4,50.0,51.5,48.6,48.0,46.7,56.3,31.4
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,6.4,0.2,1.4,0.1,1.3,0.1,2.0,31.1,0.8,0.0,14.2,17.1,18.0,0.0,12.5,5.8
9,18-20 years,2.2,0.6,1.2,0.7,2.2,0.6,1.6,6.4,1.5,0.0,6.8,2.9,4.0,0.3,0.0,5.8
10,21-25 years,9.6,5.1,8.1,8.0,8.9,1.9,11.8,17.3,9.4,11.1,14.5,8.6,12.0,0.7,18.8,13.3
11,26-30 years,17.5,11.7,16.7,23.2,19.2,5.1,19.9,16.7,19.3,22.2,19.7,11.4,14.0,7.6,25.0,18.4
12,31-35 years,18.6,15.2,19.1,22.8,20.1,11.2,18.3,12.2,23.1,11.1,20.6,14.3,16.0,18.7,6.3,19.0
13,36-40 years,16.2,17.2,18.5,18.2,18.2,14.2,16.5,7.7,19.0,22.2,12.7,25.7,18.0,29.1,18.8,14.6
14,41-45 years,11.1,14.2,12.1,12.4,12.7,12.5,14.3,4.0,11.9,22.2,5.3,2.9,12.0,31.5,18.8,6.4
15,46-50 years,7.0,11.8,8.1,5.8,7.4,13.6,7.9,2.4,7.0,11.1,2.9,8.6,0.0,8.7,0.0,6.2
16,51-55 years,5.3,9.5,7.1,4.1,4.6,17.0,4.4,1.2,4.6,0.0,0.6,0.0,2.0,3.1,0.0,5.1
17,56-60 years,3.8,8.8,4.5,2.7,3.2,13.7,2.5,0.6,2.3,0.0,1.3,5.7,2.0,0.3,0.0,3.3
18,61-65 years,1.8,4.1,2.5,1.4,1.6,8.1,0.7,0.3,0.9,0.0,1.0,0.0,2.0,0.0,0.0,1.3
19,66 years and over,0.6,1.5,0.7,0.6,0.6,1.9,0.1,0.1,0.3,0.0,0.3,2.9,0.0,0.0,0.0,0.9
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,80.2,84.3,80.5,91.3,85.5,37.5,68.0,66.4,88.6,88.9,86.1,97.1,62.0,9.0,93.8,67.5
24,Black or African-American,16.8,12.3,15.9,5.8,12.3,60.0,29.1,31.0,8.2,11.1,10.6,0.0,36.0,88.6,6.3,29.9
25,American Indian or Alaska Native,0.7,0.9,0.8,0.7,0.6,0.5,0.9,0.5,0.6,0.0,0.3,2.9,2.0,0.0,0.0,0.4
26,Asian or Native Hawaiian or Other Pacific Islander,0.7,0.7,0.9,0.8,0.7,0.4,0.7,0.7,0.7,0.0,0.3,0.0,0.0,0.7,0.0,0.7
27,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Unknown,1.6,1.7,1.9,1.4,1.0,1.5,1.2,1.4,1.8,0.0,2.6,0.0,0.0,1.7,0.0,1.5
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,30.0,28.1,29.5,32.1,23.2,18.1,44.0,37.4,26.2,16.7,32.4,22.9,24.0,5.5,18.8,32.3
32,Not Hispanic or Latino,69.7,71.2,70.3,67.6,76.4,81.8,55.8,62.6,73.4,83.3,67.1,77.1,76.0,94.1,81.3,67.7
33,Unknown,0.3,0.7,0.2,0.3,0.3,0.1,0.2,0.1,0.5,0.0,0.5,0.0,0.0,0.3,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
