,State: RHODE ISLAND,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),10246,2701,1445,1686,2847,456,235,446,140,16,135,17,8,1,1,112
1,Total,100.0,26.4,14.1,16.5,27.8,4.5,2.3,4.4,1.4,0.2,1.3,0.2,0.1,0.0,0.0,1.1
3,Male,69.6,66.4,75.0,73.0,68.5,56.8,75.7,76.2,73.6,62.5,79.3,64.7,62.5,100.0,0.0,52.7
4,Female,30.2,33.6,25.0,27.0,31.5,43.2,24.3,23.8,26.4,37.5,20.7,35.3,37.5,0.0,100.0,25.9
5,Unknown,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
9,18-20 years,1.5,0.9,1.0,0.5,1.7,0.4,0.4,8.7,2.1,0.0,2.2,0.0,50.0,0.0,0.0,2.7
10,21-25 years,7.6,4.4,7.7,4.4,11.0,2.0,4.7,20.4,7.1,6.3,21.5,0.0,0.0,0.0,0.0,5.4
11,26-30 years,14.8,9.6,14.0,14.7,19.4,12.9,15.3,18.8,12.9,25.0,16.3,41.2,12.5,0.0,0.0,25.0
12,31-35 years,18.7,13.8,18.4,22.4,21.6,17.8,20.0,15.0,29.3,12.5,21.5,0.0,25.0,0.0,0.0,11.6
13,36-40 years,15.9,12.1,14.7,19.8,18.4,16.4,18.3,11.0,18.6,31.3,11.9,23.5,0.0,0.0,0.0,10.7
14,41-45 years,12.1,12.8,13.6,12.0,10.4,16.7,12.8,8.1,20.0,18.8,11.1,5.9,0.0,100.0,100.0,3.6
15,46-50 years,9.6,11.8,10.2,11.2,7.4,12.3,6.0,3.8,3.6,0.0,6.7,17.6,12.5,0.0,0.0,7.1
16,51-55 years,8.2,12.2,10.2,6.5,4.9,12.1,13.2,3.6,2.1,6.3,3.7,0.0,0.0,0.0,0.0,0.9
17,56-60 years,6.5,11.7,7.1,5.5,3.3,4.2,5.5,1.8,2.1,0.0,4.4,0.0,0.0,0.0,0.0,9.8
18,61-65 years,3.5,7.6,2.4,2.4,1.4,4.2,2.1,0.7,0.7,0.0,0.7,5.9,0.0,0.0,0.0,3.6
19,66 years and over,1.2,3.0,0.7,0.6,0.4,1.1,1.7,0.0,1.4,0.0,0.0,5.9,0.0,0.0,0.0,1.8
20,Unknown,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,77.6,83.4,76.4,78.5,80.0,65.1,66.0,50.9,76.4,93.8,87.4,88.2,62.5,0.0,100.0,47.3
24,Black or African-American,7.5,4.9,10.5,4.3,6.3,17.3,10.6,20.9,10.7,6.3,3.0,0.0,12.5,0.0,0.0,11.6
25,American Indian or Alaska Native,0.8,0.7,1.2,0.2,1.0,1.3,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.7,1.0,0.5,0.2,0.7,0.4,3.0,1.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9
27,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Unknown,13.4,10.1,11.3,16.7,12.0,15.8,20.0,25.1,12.1,0.0,9.6,11.8,25.0,100.0,0.0,40.2
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,11.3,7.7,9.6,15.7,10.8,10.3,19.1,23.5,11.4,0.0,8.9,5.9,12.5,100.0,0.0,12.5
32,Not Hispanic or Latino,85.6,89.5,85.8,83.0,88.4,86.0,74.0,65.9,82.9,100.0,89.6,88.2,87.5,0.0,100.0,58.0
33,Unknown,3.1,2.8,4.6,1.4,0.8,3.7,6.8,10.5,5.7,0.0,1.5,5.9,0.0,0.0,0.0,29.5
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
