,State: UNITED STATES,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),1561420,250440,208593,271338,121674,42926,29869,138310,190862,2676,14561,2455,2108,4006,732,280870
1,Total,100.0,16.0,13.4,17.4,7.8,2.7,1.9,8.9,12.2,0.2,0.9,0.2,0.1,0.3,0.0,18.0
3,Male,65.0,69.1,71.6,67.0,60.1,62.7,68.9,67.7,58.4,58.6,61.9,49.3,70.6,66.7,57.8,60.1
4,Female,34.9,30.8,28.3,33.0,39.8,37.2,31.0,32.3,41.4,41.3,38.1,50.6,29.2,33.3,42.2,39.8
5,Unknown,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.1
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,2.3,0.4,1.0,0.0,0.6,0.1,0.6,16.4,0.5,4.3,3.4,3.5,5.1,0.1,6.1,2.5
9,18-20 years,2.4,1.0,1.7,0.8,3.0,0.5,1.8,8.6,2.0,2.7,6.6,5.8,8.4,0.2,3.7,2.9
10,21-25 years,8.8,5.1,7.8,7.1,10.6,3.4,7.9,18.1,10.6,10.5,15.5,12.0,14.1,2.4,13.1,8.4
11,26-30 years,16.1,10.5,13.9,19.7,20.0,8.2,15.1,18.2,19.4,19.7,18.1,14.3,19.4,10.1,19.3,15.4
12,31-35 years,17.7,13.6,15.7,22.0,21.5,11.6,17.4,14.1,21.4,21.6,18.4,14.4,19.6,24.9,15.4,17.1
13,36-40 years,14.9,13.9,14.7,16.4,16.6,11.8,15.6,9.8,18.3,16.4,14.5,10.0,13.2,26.8,13.9,14.4
14,41-45 years,10.7,12.1,11.7,10.6,10.1,11.8,12.6,6.1,11.9,10.2,8.3,5.9,8.5,19.3,10.7,10.3
15,46-50 years,8.1,11.4,9.5,7.3,6.2,12.4,9.5,3.5,7.3,5.9,5.2,4.4,4.9,8.6,9.0,8.3
16,51-55 years,7.7,11.8,10.3,6.8,4.8,16.7,8.9,2.4,4.7,4.4,4.2,4.1,3.2,3.5,3.3,8.0
17,56-60 years,6.3,10.9,8.4,5.1,3.6,14.5,6.6,1.7,2.7,2.4,3.0,3.3,2.1,3.4,3.7,6.7
18,61-65 years,3.3,6.2,3.9,2.8,2.0,6.7,2.9,0.8,1.0,1.4,2.0,3.3,0.9,0.6,1.1,3.9
19,66 years and over,1.5,3.1,1.3,1.4,1.0,2.2,1.1,0.3,0.2,0.4,0.9,19.1,0.5,0.1,0.7,2.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,62.3,68.4,58.4,70.1,72.2,38.5,48.9,48.4,73.0,74.1,79.9,76.9,54.2,16.1,73.5,52.1
24,Black or African-American,18.1,14.0,25.3,13.3,12.7,51.2,34.7,34.1,7.2,12.1,8.2,7.5,31.3,67.7,6.4,16.0
25,American Indian or Alaska Native,3.5,4.3,2.9,1.5,1.6,0.7,1.1,1.9,3.5,1.8,0.7,1.1,1.5,0.7,3.1,7.4
26,Asian or Native Hawaiian or Other Pacific Islander,1.0,1.2,0.8,0.8,1.0,0.6,1.1,1.1,1.6,0.9,1.1,1.0,1.5,0.7,1.1,1.0
27,Other,6.9,7.1,7.9,9.7,6.0,5.6,9.5,9.0,8.1,6.5,6.7,9.6,5.2,10.4,10.0,1.6
28,Unknown,8.2,5.0,4.7,4.6,6.5,3.4,4.7,5.5,6.5,4.5,3.3,4.0,6.4,4.3,5.9,21.8
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,13.3,14.6,15.1,16.9,11.7,9.2,17.5,17.1,17.1,8.3,12.0,14.8,12.2,17.5,16.9,3.6
32,Not Hispanic or Latino,78.7,83.0,82.6,80.7,84.3,88.5,79.4,79.3,80.8,88.2,86.0,83.5,82.2,79.3,79.5,64.0
33,Unknown,8.0,2.5,2.3,2.3,4.0,2.3,3.1,3.6,2.2,3.6,2.0,1.7,5.6,3.1,3.6,32.4
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
