,State: NORTH CAROLINA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),42865,5049,2887,6315,5771,1808,1419,7135,4782,188,302,127,50,42,11,6979
1,Total,100.0,11.8,6.7,14.7,13.5,4.2,3.3,16.6,11.2,0.4,0.7,0.3,0.1,0.1,0.0,16.3
3,Male,70.5,76.6,75.9,67.3,64.7,67.5,73.4,79.8,65.6,74.5,64.2,59.8,76.0,81.0,54.5,65.6
4,Female,29.5,23.4,24.1,32.7,35.3,32.5,26.6,20.2,34.4,25.5,35.8,40.2,24.0,19.0,45.5,34.4
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,0.4,0.1,0.1,0.0,0.1,0.0,0.0,1.2,0.1,0.5,0.7,2.4,2.0,4.8,0.0,0.7
9,18-20 years,2.2,0.7,0.7,0.7,1.0,0.1,0.8,8.5,1.1,0.5,4.0,4.7,10.0,0.0,0.0,1.4
10,21-25 years,10.8,6.5,5.2,10.5,10.1,2.8,6.0,23.0,9.1,12.8,15.2,14.2,16.0,0.0,9.1,8.6
11,26-30 years,18.6,11.7,13.5,23.2,22.2,6.3,14.4,23.1,18.7,19.7,22.2,22.0,16.0,16.7,0.0,17.6
12,31-35 years,19.1,13.9,15.5,24.9,21.7,9.0,15.2,17.6,21.8,28.2,20.9,22.0,28.0,26.2,18.2,19.4
13,36-40 years,15.4,14.8,14.7,16.6,17.6,11.1,18.0,11.3,18.8,12.2,13.9,13.4,12.0,28.6,18.2,15.8
14,41-45 years,11.2,13.1,12.9,9.9,11.7,13.3,14.6,7.2,13.5,11.7,8.9,5.5,4.0,14.3,0.0,11.1
15,46-50 years,8.4,12.0,12.2,6.4,7.1,16.9,11.0,3.7,8.9,6.4,7.0,5.5,6.0,7.1,18.2,8.8
16,51-55 years,6.7,11.2,12.9,4.0,4.5,17.8,10.3,2.4,4.6,3.7,2.6,6.3,4.0,0.0,18.2,7.6
17,56-60 years,4.4,9.4,8.0,2.1,2.3,13.5,6.3,1.3,2.2,3.2,2.6,0.8,2.0,2.4,9.1,5.3
18,61-65 years,2.0,4.3,3.2,1.2,1.3,6.6,2.4,0.4,1.0,1.1,1.3,2.4,0.0,0.0,0.0,2.6
19,66 years and over,0.8,2.2,1.2,0.5,0.4,2.7,0.9,0.2,0.1,0.0,0.7,0.8,0.0,0.0,9.1,1.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,68.4,65.6,63.3,85.0,84.8,36.0,42.4,39.0,91.9,84.6,84.8,80.3,52.0,21.4,90.9,70.8
24,Black or African-American,26.5,28.8,33.0,11.0,10.6,59.1,51.9,53.0,4.6,9.6,9.3,15.0,38.0,78.6,9.1,24.4
25,American Indian or Alaska Native,2.1,1.2,1.1,1.7,2.3,2.7,3.2,2.7,1.2,3.2,2.0,3.1,4.0,0.0,0.0,2.8
26,Asian or Native Hawaiian or Other Pacific Islander,0.3,0.5,0.1,0.3,0.2,0.2,0.2,0.2,0.7,1.6,0.3,0.0,0.0,0.0,0.0,0.2
27,Other,2.1,3.3,1.5,1.5,1.4,1.3,1.8,4.7,1.3,0.5,2.3,1.6,6.0,0.0,0.0,0.9
28,Unknown,0.6,0.6,0.8,0.5,0.7,0.6,0.6,0.4,0.3,0.5,1.3,0.0,0.0,0.0,0.0,0.8
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,2.5,3.9,2.6,1.7,2.2,1.6,1.8,3.2,1.6,2.1,2.3,4.7,6.0,0.0,0.0,2.6
32,Not Hispanic or Latino,97.4,95.9,97.3,98.2,97.7,98.3,98.2,96.6,98.3,97.9,97.4,95.3,94.0,100.0,100.0,97.3
33,Unknown,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.1
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
