,State: ALASKA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),5332,1382,1558,1065,187,18,22,384,563,29,15,4,6,0,2,97
1,Total,100.0,25.9,29.2,20.0,3.5,0.3,0.4,7.2,10.6,0.5,0.3,0.1,0.1,0.0,0.0,1.8
3,Male,57.1,58.8,61.0,50.4,55.1,61.1,54.5,59.4,55.2,58.6,53.3,50.0,66.7,0.0,0.0,51.5
4,Female,42.9,41.2,39.0,49.6,44.9,38.9,45.5,40.4,44.8,41.4,46.7,50.0,33.3,0.0,100.0,48.5
5,Unknown,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
8,12-17 years,3.1,0.1,1.7,0.4,2.1,0.0,0.0,26.0,2.8,3.4,20.0,25.0,16.7,0.0,0.0,9.3
9,18-20 years,2.3,0.9,1.7,1.3,7.0,0.0,9.1,8.3,2.1,3.4,13.3,0.0,0.0,0.0,0.0,6.2
10,21-25 years,7.4,5.9,6.1,7.8,8.6,5.6,9.1,9.9,11.9,0.0,6.7,0.0,16.7,0.0,0.0,8.2
11,26-30 years,16.1,10.9,13.6,25.4,12.3,0.0,18.2,15.6,20.8,17.2,6.7,0.0,0.0,0.0,0.0,15.5
12,31-35 years,19.4,16.7,17.5,24.8,17.1,5.6,9.1,13.8,26.1,24.1,20.0,75.0,50.0,0.0,0.0,18.6
13,36-40 years,16.1,15.1,17.3,19.3,19.8,11.1,0.0,9.1,14.6,24.1,13.3,0.0,0.0,0.0,50.0,12.4
14,41-45 years,10.0,10.9,10.5,8.7,12.8,11.1,22.7,6.3,9.9,10.3,6.7,0.0,0.0,0.0,50.0,8.2
15,46-50 years,8.6,12.7,10.9,4.6,2.7,0.0,9.1,3.4,6.7,0.0,6.7,0.0,0.0,0.0,0.0,7.2
16,51-55 years,6.3,9.2,7.9,3.9,4.3,16.7,13.6,2.9,2.3,6.9,0.0,0.0,0.0,0.0,0.0,5.2
17,56-60 years,5.6,7.7,7.6,2.3,8.0,22.2,4.5,2.6,2.0,6.9,6.7,0.0,16.7,0.0,0.0,5.2
18,61-65 years,3.6,7.3,3.7,1.2,2.7,22.2,0.0,1.0,0.5,3.4,0.0,0.0,0.0,0.0,0.0,4.1
19,66 years and over,1.4,2.7,1.4,0.3,2.7,5.6,4.5,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
23,White,37.3,24.7,27.4,61.7,48.1,38.9,36.4,35.2,46.0,37.9,60.0,50.0,66.7,0.0,50.0,41.2
24,Black or African-American,2.5,1.4,2.1,3.0,2.1,11.1,4.5,4.4,3.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0
25,American Indian or Alaska Native,43.2,59.0,52.7,21.2,28.3,27.8,22.7,41.9,30.6,31.0,33.3,25.0,0.0,0.0,50.0,27.8
26,Asian or Native Hawaiian or Other Pacific Islander,1.0,0.6,0.4,0.9,3.7,5.6,4.5,2.3,1.8,3.4,0.0,0.0,0.0,0.0,0.0,2.1
27,Other,2.4,1.7,1.9,1.7,4.8,11.1,9.1,2.9,4.3,13.8,0.0,0.0,16.7,0.0,0.0,4.1
28,Unknown,13.6,12.7,15.5,11.5,12.8,5.6,22.7,13.3,13.7,6.9,6.7,25.0,16.7,0.0,0.0,24.7
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
31,Hispanic or Latino,5.1,3.0,5.3,4.7,5.9,11.1,18.2,7.3,7.3,13.8,6.7,0.0,16.7,0.0,0.0,7.2
32,Not Hispanic or Latino,91.3,93.9,91.8,90.8,91.4,88.9,81.8,86.7,90.1,79.3,93.3,100.0,66.7,0.0,100.0,80.4
33,Unknown,3.6,3.1,2.9,4.5,2.7,0.0,0.0,6.0,2.7,6.9,0.0,0.0,16.7,0.0,0.0,12.4
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
