,State: WISCONSIN,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),17401,5876,2479,2740,1067,1179,459,1362,1844,10,115,20,19,2,17,212
1,Total,100.0,33.8,14.2,15.7,6.1,6.8,2.6,7.8,10.6,0.1,0.7,0.1,0.1,0.0,0.1,1.2
3,Male,64.4,69.5,72.7,59.5,45.3,67.9,67.8,67.0,53.4,50.0,52.2,75.0,57.9,50.0,70.6,45.3
4,Female,35.6,30.5,27.3,40.5,54.7,32.1,32.2,33.0,46.6,50.0,47.8,25.0,42.1,50.0,29.4,54.7
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,1.3,0.2,0.6,0.0,0.0,0.0,0.7,12.9,0.7,10.0,0.0,0.0,0.0,0.0,11.8,2.4
9,18-20 years,1.9,0.9,1.1,1.1,1.8,0.3,0.0,10.9,1.6,0.0,16.5,5.0,15.8,50.0,0.0,0.5
10,21-25 years,8.3,6.0,7.9,10.4,5.8,4.6,7.0,16.4,10.4,30.0,19.1,15.0,10.5,50.0,11.8,4.7
11,26-30 years,15.1,10.1,15.0,23.6,14.3,8.7,19.8,16.1,21.6,20.0,10.4,10.0,31.6,0.0,23.5,12.7
12,31-35 years,18.5,14.0,17.4,27.3,25.3,13.4,17.0,15.4,23.3,30.0,13.9,15.0,31.6,0.0,11.8,23.6
13,36-40 years,15.2,13.9,15.9,18.3,17.9,9.9,12.4,11.1,20.0,0.0,11.3,25.0,5.3,0.0,11.8,12.3
14,41-45 years,11.4,12.2,12.3,7.1,15.3,15.2,11.5,7.8,12.0,0.0,7.0,5.0,0.0,0.0,29.4,10.8
15,46-50 years,8.5,10.5,9.3,4.9,8.5,12.6,12.0,4.4,4.7,10.0,12.2,10.0,0.0,0.0,0.0,16.5
16,51-55 years,7.2,10.1,8.0,3.0,5.4,16.7,7.2,1.5,2.8,0.0,7.0,10.0,5.3,0.0,0.0,5.7
17,56-60 years,7.0,11.8,7.8,2.7,3.8,9.8,7.4,2.1,2.0,0.0,2.6,0.0,0.0,0.0,0.0,2.8
18,61-65 years,3.8,6.7,3.3,1.1,1.3,7.0,3.7,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,6.6
19,66 years and over,1.8,3.7,1.4,0.5,0.5,2.0,1.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,79.9,82.3,77.8,84.9,92.9,39.7,58.0,80.3,89.5,90.0,93.0,65.0,73.7,0.0,70.6,84.9
24,Black or African-American,12.2,9.2,13.8,7.8,2.3,55.0,34.9,9.0,1.7,0.0,1.7,35.0,15.8,50.0,0.0,7.5
25,American Indian or Alaska Native,1.8,1.8,2.6,1.2,1.5,0.3,0.7,2.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9
26,Asian or Native Hawaiian or Other Pacific Islander,0.7,1.1,0.4,0.7,0.5,0.0,0.2,1.0,0.6,0.0,0.9,0.0,0.0,0.0,0.0,0.5
27,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Unknown,5.4,5.6,5.5,5.4,2.8,5.0,6.3,7.3,4.8,10.0,4.3,0.0,10.5,50.0,29.4,6.1
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,7.0,6.8,8.6,8.2,4.0,6.7,11.3,9.8,2.8,0.0,0.9,5.0,0.0,50.0,0.0,7.1
32,Not Hispanic or Latino,88.3,88.5,86.2,87.2,91.8,91.6,85.2,83.8,92.0,100.0,97.4,90.0,94.7,50.0,100.0,81.6
33,Unknown,4.7,4.8,5.2,4.6,4.1,1.7,3.5,6.5,5.2,0.0,1.7,5.0,5.3,0.0,0.0,11.3
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
