,State: SOUTH CAROLINA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),38688,1814,14709,2916,3114,905,843,8432,3129,0,463,25,38,6,10,2284
1,Total,100.0,4.7,38.0,7.5,8.0,2.3,2.2,21.8,8.1,0.0,1.2,0.1,0.1,0.0,0.0,5.9
3,Male,60.4,72.8,70.6,54.7,50.0,51.0,52.7,57.7,44.6,0.0,44.1,44.0,52.6,0.0,50.0,47.8
4,Female,39.6,27.1,29.3,45.2,50.0,48.8,47.2,42.2,55.4,0.0,55.9,56.0,47.4,100.0,50.0,52.1
5,Unknown,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,8.6,0.6,1.1,0.1,2.4,0.8,0.6,25.9,1.4,0.0,10.8,0.0,23.7,0.0,0.0,34.4
9,18-20 years,3.6,1.0,1.5,1.1,4.0,0.0,1.2,9.3,2.1,0.0,9.9,0.0,13.2,0.0,10.0,4.5
10,21-25 years,11.2,6.4,8.6,10.9,12.3,2.5,7.6,18.8,11.5,0.0,14.7,8.0,0.0,0.0,0.0,7.2
11,26-30 years,16.2,11.0,14.1,23.2,21.0,6.3,13.0,17.9,21.0,0.0,15.6,44.0,36.8,33.3,20.0,10.4
12,31-35 years,15.4,12.6,14.8,23.7,18.2,11.9,22.3,12.0,21.6,0.0,15.3,24.0,5.3,50.0,10.0,10.5
13,36-40 years,13.1,13.9,14.4,16.2,16.4,9.5,17.7,7.6,18.2,0.0,14.7,4.0,7.9,16.7,20.0,8.7
14,41-45 years,9.2,12.1,11.3,10.1,9.6,13.3,14.5,3.3,11.2,0.0,6.3,8.0,7.9,0.0,0.0,7.1
15,46-50 years,6.7,10.0,9.2,5.8,6.0,10.8,9.1,2.3,6.0,0.0,6.3,8.0,2.6,0.0,40.0,4.2
16,51-55 years,5.8,10.3,8.8,4.4,4.0,17.3,5.3,1.0,3.0,0.0,3.2,0.0,0.0,0.0,0.0,4.7
17,56-60 years,5.3,10.2,8.6,2.3,3.6,15.6,4.3,0.9,2.7,0.0,1.5,4.0,2.6,0.0,0.0,3.7
18,61-65 years,3.0,6.5,4.8,1.3,1.7,9.1,3.2,0.7,1.0,0.0,1.3,0.0,0.0,0.0,0.0,2.9
19,66 years and over,1.7,5.2,2.9,0.7,0.8,2.8,1.1,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.7
20,Unknown,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,60.2,57.4,56.8,89.3,85.7,29.4,35.0,40.9,91.3,0.0,90.7,68.0,63.2,83.3,90.0,56.3
24,Black or African-American,34.3,35.6,37.4,7.8,10.1,66.6,58.6,52.5,5.4,0.0,6.3,24.0,31.6,16.7,10.0,37.0
25,American Indian or Alaska Native,0.3,0.1,0.3,0.4,0.5,0.6,0.4,0.4,0.5,0.0,0.4,8.0,0.0,0.0,0.0,0.3
26,Asian or Native Hawaiian or Other Pacific Islander,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4
27,Other,3.2,5.3,4.1,1.0,1.7,1.0,4.3,3.1,1.4,0.0,1.9,0.0,0.0,0.0,0.0,4.2
28,Unknown,1.5,1.0,1.1,1.1,1.5,2.0,1.4,2.7,1.2,0.0,0.6,0.0,5.3,0.0,0.0,1.8
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,4.1,6.1,4.8,2.0,2.3,2.1,4.0,4.5,2.1,0.0,3.0,0.0,0.0,0.0,0.0,5.1
32,Not Hispanic or Latino,92.1,89.1,91.7,95.2,95.2,92.0,90.0,91.0,94.6,0.0,92.4,100.0,97.4,100.0,100.0,89.5
33,Unknown,3.9,4.8,3.5,2.8,2.5,5.9,5.9,4.5,3.3,0.0,4.5,0.0,2.6,0.0,0.0,5.3
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
