,State: PENNSYLVANIA,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),18705,3921,2379,4778,1483,653,398,2370,2265,45,205,39,35,65,15,54
1,Total,100.0,21.0,12.7,25.5,7.9,3.5,2.1,12.7,12.1,0.2,1.1,0.2,0.2,0.3,0.1,0.3
3,Male,73.3,75.9,79.2,70.4,71.3,68.3,76.9,76.3,69.6,75.6,60.0,53.8,77.1,73.8,66.7,72.2
4,Female,26.7,24.1,20.8,29.6,28.7,31.7,23.1,23.7,30.3,24.4,40.0,46.2,22.9,26.2,33.3,27.8
5,Unknown,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,2.7,0.7,1.6,0.0,0.5,0.2,0.3,16.7,0.4,13.3,3.4,0.0,5.7,0.0,0.0,11.1
9,18-20 years,2.4,1.0,2.2,0.9,1.6,0.9,0.8,8.7,2.3,4.4,4.9,0.0,2.9,0.0,0.0,3.7
10,21-25 years,9.3,4.8,7.7,8.0,10.2,4.0,8.3,19.5,11.5,6.7,8.8,12.8,22.9,0.0,13.3,14.8
11,26-30 years,16.8,11.8,14.6,21.0,19.9,6.1,15.8,16.9,20.0,20.0,17.1,10.3,14.3,10.8,6.7,11.1
12,31-35 years,17.1,11.8,14.1,22.2,20.8,11.9,15.1,13.2,21.6,28.9,14.6,12.8,28.6,32.3,20.0,22.2
13,36-40 years,15.1,11.7,15.1,18.8,17.5,14.2,17.1,9.3,17.6,11.1,16.6,23.1,11.4,20.0,0.0,14.8
14,41-45 years,10.4,10.6,10.6,11.5,10.3,10.4,13.8,6.0,11.8,4.4,6.8,10.3,11.4,21.5,13.3,7.4
15,46-50 years,7.1,10.6,8.6,5.9,5.3,10.6,7.5,3.2,6.6,4.4,4.9,2.6,0.0,9.2,26.7,5.6
16,51-55 years,6.8,10.4,10.1,4.8,5.1,15.5,8.0,2.6,4.5,2.2,7.3,2.6,2.9,4.6,0.0,3.7
17,56-60 years,6.0,11.7,8.0,3.5,4.3,13.9,7.3,2.0,2.7,2.2,4.4,7.7,0.0,0.0,20.0,3.7
18,61-65 years,3.7,7.6,5.1,1.9,2.2,9.2,4.0,1.1,0.8,2.2,5.9,15.4,0.0,1.5,0.0,0.0
19,66 years and over,2.7,7.2,2.2,1.4,2.2,3.1,2.0,0.7,0.2,0.0,5.4,2.6,0.0,0.0,0.0,1.9
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,75.2,78.9,68.8,78.9,75.5,45.6,56.8,63.8,93.0,77.8,85.4,64.1,42.9,10.8,86.7,68.5
24,Black or African-American,13.8,9.2,20.1,9.6,14.8,44.0,25.4,21.7,2.4,11.1,9.3,17.9,31.4,75.4,0.0,22.2
25,American Indian or Alaska Native,0.2,0.2,0.0,0.1,0.1,0.6,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.5,0.7,0.3,0.5,0.5,0.3,0.3,0.5,0.3,0.0,0.0,2.6,0.0,1.5,0.0,0.0
27,Other,6.2,7.1,7.4,6.4,5.0,6.0,11.1,7.6,1.5,11.1,4.4,7.7,5.7,6.2,0.0,3.7
28,Unknown,4.2,3.9,3.3,4.5,4.1,3.5,6.3,6.1,2.6,0.0,1.0,7.7,20.0,4.6,13.3,5.6
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,10.2,10.6,10.4,11.5,9.5,9.6,17.8,13.5,2.8,4.4,4.9,12.8,17.1,12.3,0.0,11.1
32,Not Hispanic or Latino,84.7,84.3,84.1,84.1,84.7,87.3,75.4,79.6,93.6,82.2,90.7,76.9,80.0,78.5,86.7,79.6
33,Unknown,5.1,5.2,5.5,4.4,5.8,3.1,6.8,6.9,3.7,13.3,4.4,10.3,2.9,9.2,13.3,9.3
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
