,State: MISSISSIPPI,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),6946,1010,843,430,814,362,206,1281,1771,47,105,15,13,19,1,29
1,Total,100.0,14.5,12.1,6.2,11.7,5.2,3.0,18.4,25.5,0.7,1.5,0.2,0.2,0.3,0.0,0.4
3,Male,62.1,69.1,69.6,52.6,58.1,66.9,72.8,64.5,54.5,66.0,55.2,33.3,69.2,84.2,0.0,79.3
4,Female,37.9,30.9,30.4,47.4,41.9,33.1,27.2,35.4,45.5,34.0,44.8,66.7,30.8,15.8,100.0,20.7
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,2.0,0.2,0.8,0.0,0.1,0.3,0.5,9.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18-20 years,3.2,0.4,1.4,1.6,4.8,0.6,2.9,7.6,2.5,0.0,4.8,6.7,0.0,0.0,0.0,6.9
10,21-25 years,11.3,4.7,8.5,10.5,14.6,0.8,6.8,17.5,12.3,12.8,21.0,13.3,23.1,10.5,0.0,17.2
11,26-30 years,15.5,8.1,12.6,23.0,17.3,3.9,17.0,18.3,18.4,21.3,18.1,20.0,15.4,0.0,0.0,13.8
12,31-35 years,17.1,11.1,14.7,21.6,22.5,5.5,12.1,17.3,20.2,23.4,23.8,13.3,46.2,31.6,0.0,10.3
13,36-40 years,16.1,15.9,17.3,19.1,16.3,7.7,14.6,12.8,19.5,19.1,9.5,13.3,7.7,10.5,100.0,17.2
14,41-45 years,11.0,13.2,12.8,10.2,9.7,15.2,15.5,6.8,11.7,10.6,6.7,6.7,7.7,31.6,0.0,6.9
15,46-50 years,7.8,12.3,8.5,6.3,6.0,14.4,8.3,4.8,7.1,4.3,6.7,6.7,0.0,10.5,0.0,10.3
16,51-55 years,6.2,12.8,9.5,3.0,2.9,14.6,8.3,2.3,4.2,6.4,3.8,6.7,0.0,5.3,0.0,0.0
17,56-60 years,5.1,11.1,5.7,2.6,3.3,16.9,8.3,2.0,2.5,0.0,2.9,13.3,0.0,0.0,0.0,6.9
18,61-65 years,3.3,6.8,5.8,1.2,1.4,13.5,4.4,0.9,1.0,2.1,1.9,0.0,0.0,0.0,0.0,10.3
19,66 years and over,1.5,3.5,2.3,0.9,1.0,6.6,1.5,0.5,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,66.7,66.5,58.5,88.6,82.9,16.6,29.1,46.4,86.4,78.7,85.7,86.7,38.5,5.3,100.0,72.4
24,Black or African-American,31.3,31.3,40.1,8.8,15.2,82.3,67.0,51.3,11.8,21.3,12.4,13.3,53.8,94.7,0.0,27.6
25,American Indian or Alaska Native,0.3,0.9,0.0,0.2,0.2,0.0,0.5,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Asian or Native Hawaiian or Other Pacific Islander,0.1,0.1,0.0,0.2,0.1,0.0,0.5,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,Other,0.9,1.0,0.6,1.2,0.7,1.1,1.9,1.2,0.7,0.0,0.0,0.0,7.7,0.0,0.0,0.0
28,Unknown,0.6,0.2,0.8,0.9,0.7,0.0,1.0,0.9,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,1.6,2.1,0.8,2.1,1.6,0.6,1.9,2.3,1.2,0.0,1.9,0.0,0.0,0.0,0.0,0.0
32,Not Hispanic or Latino,97.6,97.0,98.5,97.0,96.9,98.9,98.1,97.3,97.7,100.0,97.1,100.0,92.3,100.0,100.0,100.0
33,Unknown,0.8,0.9,0.7,0.9,1.5,0.6,0.0,0.3,1.1,0.0,1.0,0.0,7.7,0.0,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
