,State: COLORADO,All Substances,Alcohol Only,Alcohol with secondary drug,Heroin,Other opiates,Cocaine (smoked),Cocaine (other route),Marijuana,Amphetamines,Other stimulants,Tranquilizers,Sedatives,Hallucinogens,PCP,Inhalants,Other/Unknown
0,Total (Number),69628,23618,14580,7273,5021,559,907,3730,12882,103,498,85,78,6,44,244
1,Total,100.0,33.9,20.9,10.4,7.2,0.8,1.3,5.4,18.5,0.1,0.7,0.1,0.1,0.0,0.1,0.4
3,Male,68.2,71.2,74.8,61.3,59.6,68.5,70.2,71.6,61.6,62.1,64.1,65.9,79.5,100.0,72.7,58.6
4,Female,31.8,28.8,25.2,38.7,40.4,31.5,29.8,28.4,38.4,37.9,35.9,34.1,20.5,0.0,27.3,41.4
5,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,12-17 years,1.5,0.2,1.0,0.1,1.0,0.0,2.4,17.6,0.3,5.8,3.6,1.2,17.9,0.0,2.3,2.5
9,18-20 years,3.0,1.6,2.6,1.9,5.7,3.2,9.7,10.4,2.5,2.9,12.7,15.3,14.1,0.0,0.0,8.2
10,21-25 years,10.8,6.8,10.1,12.9,16.9,5.2,18.2,19.0,11.8,12.6,26.1,18.8,12.8,50.0,18.2,21.7
11,26-30 years,16.3,11.2,14.6,25.2,23.2,9.5,18.9,17.0,19.5,27.2,18.9,16.5,25.6,16.7,20.5,21.3
12,31-35 years,17.3,14.5,16.1,24.4,20.2,12.2,12.8,12.4,20.8,19.4,15.3,16.5,16.7,0.0,29.5,15.6
13,36-40 years,14.3,13.7,14.0,15.8,13.7,11.6,11.1,8.1,17.4,15.5,8.2,11.8,2.6,16.7,13.6,10.2
14,41-45 years,9.9,10.4,10.0,9.1,7.4,11.8,9.3,6.1,11.4,5.8,5.8,9.4,6.4,16.7,2.3,9.0
15,46-50 years,7.8,10.0,9.0,4.3,4.6,9.1,6.6,3.7,7.3,1.9,2.8,3.5,2.6,0.0,11.4,2.5
16,51-55 years,7.7,11.6,9.6,2.7,2.7,12.7,5.4,2.4,5.0,1.9,3.2,3.5,1.3,0.0,2.3,5.7
17,56-60 years,5.8,9.7,6.8,1.9,2.1,16.1,3.1,1.9,2.6,1.9,1.4,1.2,0.0,0.0,0.0,1.6
18,61-65 years,3.7,6.7,4.5,1.1,1.4,6.6,1.7,0.7,1.0,2.9,1.6,1.2,0.0,0.0,0.0,0.4
19,66 years and over,1.9,3.6,1.8,0.6,1.0,2.0,0.9,0.8,0.4,1.9,0.4,1.2,0.0,0.0,0.0,1.2
20,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,White,71.4,71.3,66.7,80.7,76.4,37.4,64.9,64.0,73.3,80.6,83.7,88.2,75.6,50.0,79.5,62.3
24,Black or African-American,6.6,5.5,8.8,2.2,5.3,46.5,12.5,11.3,5.8,4.9,2.8,2.4,3.8,16.7,2.3,4.9
25,American Indian or Alaska Native,4.9,7.2,5.1,2.4,2.6,1.4,2.3,4.0,3.4,1.0,0.4,1.2,2.6,16.7,9.1,0.8
26,Asian or Native Hawaiian or Other Pacific Islander,0.8,0.7,0.8,0.6,0.7,1.3,0.9,1.4,1.1,0.0,0.4,0.0,1.3,0.0,0.0,0.8
27,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Unknown,16.3,15.2,18.6,14.1,15.0,13.4,19.4,19.2,16.5,13.6,12.7,8.2,16.7,16.7,9.1,31.1
29,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,Hispanic or Latino,36.5,32.9,35.1,39.6,37.8,29.7,40.1,39.4,42.2,27.2,25.5,25.9,28.2,16.7,31.8,48.4
32,Not Hispanic or Latino,63.5,67.1,64.9,60.4,62.2,70.3,59.9,60.6,57.8,72.8,74.5,74.1,71.8,83.3,68.2,51.6
33,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
